Date : 2024-09-05 03:09:29
Directory : c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2
Total : 63 files,  31311 codes, 473 comments, 722 blanks, all 32506 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\grass_town_1_16.json                 | JSON               |      6,449 |          0 |          6 |      6,455 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\grass_town_1_16.tmx                  | XML                |      3,599 |          0 |          1 |      3,600 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\inkytest.json                        | JSON               |         25 |          0 |          1 |         26 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\preload-asset-pack.json              | JSON               |        201 |          0 |          0 |        201 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\story_files\chapter_1.ink.json       | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\test_castle_1.json                   | JSON               |      2,441 |          0 |          1 |      2,442 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\assets\test_castle_1.tmx                    | XML                |      1,403 |          0 |          1 |      1,404 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\public\style.css                                   | PostCSS            |         14 |          0 |          2 |         16 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\customStyles\sceneTransition.css               | PostCSS            |         29 |          0 |          4 |         33 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\SceneAction.ts                    | TypeScript         |         53 |          2 |          7 |         62 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\SceneActionManager.ts             | TypeScript         |        271 |         44 |         38 |        353 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\SceneTransition.ts                | TypeScript         |         32 |          5 |          6 |         43 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\StoryBox.ts                       | TypeScript         |        156 |          6 |         25 |        187 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\character.ts                      | TypeScript         |        313 |         70 |         64 |        447 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\interfaces\StoryBoxConfig.ts      | TypeScript         |         21 |          1 |          2 |         24 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\CollisionChecker.ts         | TypeScript         |         49 |          3 |          6 |         58 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\DesktopControls.ts          | TypeScript         |        257 |         16 |         34 |        307 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\DirectionInput.ts           | TypeScript         |         29 |          1 |          4 |         34 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\SceneActionData.ts          | TypeScript         |          0 |         19 |          2 |         21 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\SceneUtils.ts               | TypeScript         |         45 |          0 |          6 |         51 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\grid.ts                     | TypeScript         |         79 |          6 |         19 |        104 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\utils.ts                    | TypeScript         |         97 |         14 |         17 |        128 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\index.html                                     | HTML               |         17 |          0 |          3 |         20 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\chapter_1.ink.json                        | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\chapter_1.js                              | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky-test-json.json                       | JSON               |         18 |          0 |          0 |         18 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky_chapter_1_web\chapter_1\chapter_1.js | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky_chapter_1_web\chapter_1\index.html   | HTML               |         29 |          0 |         10 |         39 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky_chapter_1_web\chapter_1\ink.js       | JavaScript         |          1 |          1 |          1 |          3 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky_chapter_1_web\chapter_1\main.js      | JavaScript         |        284 |         70 |         86 |        440 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky_chapter_1_web\chapter_1\style.css    | PostCSS            |        235 |         25 |         47 |        307 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inkytest.json                             | JSON               |         25 |          0 |          1 |         26 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\main.ts                                        | TypeScript         |         41 |          0 |          6 |         47 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\scenes\Level.ts                                | TypeScript         |         29 |         22 |         26 |         77 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\scenes\MainGameScene.ts                        | TypeScript         |        290 |        134 |         82 |        506 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\scenes\Preload.ts                              | TypeScript         |         40 |         17 |         29 |         86 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\script-nodes\PreloadBarUpdaterScript.ts        | TypeScript         |         16 |         11 |         17 |         44 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\vite-env.d.ts                                  | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\tsconfig.json                                      | JSON with Comments |         27 |          2 |          0 |         29 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\types\process.env.ts                               | TypeScript         |          5 |          2 |          1 |          8 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\vite\config.dev.mjs                                | JavaScript         |         16 |          0 |          2 |         18 |
| c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\vite\config.prod.mjs                               | JavaScript         |         44 |          0 |          4 |         48 |
| Total                                                                                              |                    |     31,311 |        473 |        722 |     32,506 |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
